,hashtag_name,hashtag_id,hashtag_name,hashtag_id
370,ImmuneSystem,777,ImmuneSystem,777
803,ThankYou,1627,ThankYou,1627
1139,doctors,2268,doctors,2268
1201,firstresponders,2378,firstresponders,2378
1236,godblesshealthcareworkers,2445,godblesshealthcareworkers,2445
1410,medicalstaff,2743,medicalstaff,2743
1469,nursepractitioners,2848,nursepractitioners,2848
1470,nurses,2849,nurses,2849
1519,pharmacists,2938,pharmacists,2938
1703,tespiratorytherapists,3286,tespiratorytherapists,3286
