Unnamed: 0,tweet_id,text
35,1.23955E+18,"Nigeria: How 15 died in Lagos explosion

https://t.co/84RA0jLj76 #USA #COVID19 #Honda #Hitachi #Burberry #Barclays #Nissan #Netflix #Dyson #JPMorgan #China #Michelin #Toyota #Hitachi #Burberry #Honda #HSBC #Sony #Lioyds #Eba #Ford #HSBC #Nissan #Netflix https://t.co/sFXNAgOi3s"
36,1.23955E+18,"Get some soap. Definitely get soap. Dove! 🧼
#COVID19 #lockdown #QuarantineLife"
37,1.23955E+18,"You know, if you just eat your toilet paper, your ass will wipe itself.

#coronapocolypse #QuarantineLife #COVID19 #CoronavirusOutbreak #toiletpaper #lifehack #ToiletPaperPanic"
38,1.23955E+18,Trump signs stock market image. #COVID19 #CoronavirusOutbreak #QuarantineLife #Trump #TrumpCrash  #Trump2020 https://t.co/3CbK2ucnBi
39,1.23955E+18,"Science Storytime: Lunch Edition https://t.co/gZgepKC4oH
#quarantine #corona #covid19 #elementaryschool #steam #stem"
40,1.23955E+18,Trust Scorpion. #16Marzo #COVID19 #andratuttobene #sdrammatiziamo  @MortalKombat https://t.co/VvWGjdWWqe
41,1.23955E+18,"@Scholastic offering free online resources so #kids can keep #learning during #schoolclosures | #HOPE #FlattenTheCurve #COVID19 
https://t.co/f5N5dIIwjU"
42,1.23955E+18,"An appropriate, or rather, a crucial precautionary measure. #NMUTwitter 🎓
-
• #COVID19
• #CoronavirusSA
• #CoronavirusUpdate
• #CoronavirusOutbreak
• #CoronavirusPandemic 🦠 https://t.co/0nR7x2KGvg"
43,1.23955E+18,How is the destruction of unions and cheap labor working out for us America. #mondaythoughts #MorningJoe #covid19 .
44,1.23955E+18,"In regards to #SocialSecurityTribunal hearings. 

#sst #hearings #update #COVID19 https://t.co/mNc8C2fueI"
45,1.23955E+18,"I'm writing a blog on how #CoronaVirus might impact the #TesticularCancer and #YoungAdultCancer communities, both those in treatments and survivors. If you're an expert here, I would love to hear your thoughts. DM's open. #COVID19"
46,1.23955E+18,"🚨 Live Market Update!
These are the circuit breakers that kicked in.
#COVID19 #forexmarket #CMTrading #forex #TradeLikeAChampion https://t.co/HczTQJHkSW"
47,1.23955E+18,"Coronavirus: What are your travel rights? via @BBCNews https://t.co/PfmWjUAj0I
#Covid19 #coronavirus #virus #health #healthcare #medicine #science #research #travel #travellers #economy #politics #RegionalSecurity #WHO #consumers"
48,1.23955E+18,"@realDonaldTrump We are a country in crisis without a leader. 

#COVID19 #stockmarketcrash #TrumpPlague"
49,1.23955E+18,"Everybody this morning

#toastoflondon #COVID19 #StayTheFHome https://t.co/aNQoeUlVq7"
50,1.23955E+18,"Don’t forget to wash 🧼 your hands as your carry on with your day. 

#personalhygine #COVID19 #StaySafe https://t.co/r02cPrG5AX"
51,1.23955E+18,Continue update...#lucanbiddulph #beingmayor #COVID19 https://t.co/YcC3mufIlz
52,1.23955E+18,"#Bengaluru: Another #techie tested positive for #COVID19 in the city. With this, the total #Covid #positive cases in #Karnataka is 8. #BREAKING @TOIBengaluru @AravindShiv @BalooET @sandeeprrao1991 @tinucherian @mathangcito @NammaBengaluroo https://t.co/8xv6dx9AdK"
53,1.23955E+18,I mean ig with this break.i can actually focus on being an influencer now🤙 #QuarantineLife #COVID19 #StayTheFHome #CoronavirusOutbreak #MondayMorning #SocialDistancingNow
54,1.23955E+18,"‘Ready for Everything’ 👊🏽💪🏽
#FightClub #COVID19 #BusinessAsUsual https://t.co/wf5BdBhPaC"
55,1.23955E+18,"IMO: The #natgas demand destruction caused by #coronavirus in #China is going to really hit the #LNG market over the summer.
#covid19 #ongt https://t.co/670JrkFxpO"
56,1.23955E+18,"#COVID19 inspired #illustrations 
#CoronaDiaries 
#StayHomeSaveLives https://t.co/2vsk43CV6M"
57,1.23955E+18,"Concerned about your #cat or #dog and #coronavirus ? Get the facts from a wonderful vet (no affiliation): 
https://t.co/917RpH7z2U
#covid19 #cats&amp;covid19 #dogs&amp;covid19"
58,1.23955E+18,#CoronaVirusUpdates : #COVID19 #Sikkim has imposed total restrictions on the entry of domestic travellers from other states till 15th April 2020. Indian Association of Tour Operators - IATO Adtoi New Delhi Impression Tourism Services (India) Pvt. Ltd.
59,1.23955E+18,Coronavirus Etude for Piano and Disinfecting Wipe #Piano #ClassicalMusic #COVID19
60,1.23955E+18,In amongst gloom of #COVID19 good sense and #tech combine. #3D printers being used to help hospitals create valves and other spare parts. Can you help? Need help? Check out spreadsheet #coronavirus https://t.co/KhHrSq2tGs
61,1.23955E+18,"This should always be the proper way, with or without Coronavirus. 
#Coronavirus #COVID19 #WashYourHands #DoNotTouchYourFace #Spock #StarTrek #LiveLongAndProsper https://t.co/xl5I3hTdUL"
62,1.23955E+18,Red #polygonal #coronavirus cells pattern on black #background. #Covid19 text banner and low poly coronavirus particles around.  https://t.co/gjJpEXfSSb https://t.co/OWn396cwGD
63,1.23955E+18,"Suspected Case of #COVID19 in Enugu is Negative.. 
#CoronavirusOutbreak #coronavirus #healthcare #safety https://t.co/uDRCj1c3yh"
64,1.23955E+18,Biden is a lying dog-faced pony soldier. #BernieWon #BidenLies #LyinBiden #StudentDebt #CoronaVirus #COVID19 #QuarantineLife #Bernie2020 #PresidentSanders https://t.co/LVVwJ3J3UR
65,1.23955E+18,About time #QuarantineLife #COVID19 #StayTheFHome #FlattenTheCurve #CoronavirusOutbreak #Coronavirus https://t.co/aoz9qvCUuP
66,1.23955E+18,Please aware with situations #bawanglive #COVID19 #afiprubsn
67,1.23955E+18,Coronavirus: THIS book predicted this pandemic 12 years ago; Check it out. #Coronavirus #COVID19 #SylviaBrowne #ConspiracyTheory https://t.co/0WZ2qGeWHV
68,1.23955E+18,"#IDD | Tonight on 'India Development Debate', @TamannaInamdar discusses if the Indian #Economy can survive #COVID19, after monetary action fails to calm #markets. Tune in at 9 pm as we discuss if #SocialDistancing is going to be enough as #IndiaFightsCovid19! #coronavirusinindia https://t.co/DyhqQ0hGmn"
69,1.23955E+18,Coronavirus Update 73 By Doctor John Campbell #COVID19 #coronavirus #pandemic #GlobalEmergency #HealthEmergency #JohnCampbell https://t.co/Q6rhUGmBCk https://t.co/fUCRfJl4EZ
70,1.23955E+18,"Well, that is $1.5 Trillion down the drain.

#DowJones #stockmarketcrash #coronapocolypse #COVID19"
71,1.23955E+18,"Because we all need a little humor

#flattenthecurve #covid19 #coronavirus #loveoneanother #kindnessarmy #allinthistogether #COVID19OhioReady https://t.co/FYHGtlu9i8"
72,1.23955E+18,"Please add:
Having @realDonaldTrump as president.
#SARSCoV2 #Covid19 #corona https://t.co/uxbvVgUt40"
73,1.23955E+18,"#FlattenTheCurve people! 
We can’t let it get out of hand!
Let’s all be responsible, please.
#COVID19 #COVIDbc #COVIDCanada https://t.co/yPcBf8vWg6"
74,1.23955E+18,Omfg #COVID19 #chk #long #shale #cleanenergy #stockmarketcrash #investing #lpi #chk #energy https://t.co/7GDPe38UCh
75,1.23955E+18,"Useful overview of all the possible #donations you can do to help #Italy right now! #COVID19 #COVID19italia #Italia 
https://t.co/g8Kzs5PVzL"
76,1.23955E+18,"""#China is seeking to deflect criticism for its role in starting a #global #pandemic and not telling world,”

“They know where it came from. 
We all know where it came from,”

#ChinaVirus #WuhanCoronavius #COVID19 https://t.co/cIFpVSm4Uf https://t.co/v9kfo08wBA"
77,1.23955E+18,Worried about #COVID19 and #Taxes? @allyversprille has it for @tax ! Great job! #Bloomberg https://t.co/8dzKuhpdU4
78,1.23955E+18,"Dance out the fear! 
""Do the Panda-Demic""! 
#pandademic #pandemic #coronapocolypse #COVID19 #Trending #TrendingNow #viral https://t.co/Ko7HAf0zE2"
79,1.23955E+18,"Why social distancing is essential. 

Lessons from South Korea. 

#coronavirus #COVID19 #SocialDistancing https://t.co/LfhiMuYZWM"
80,1.23955E+18,"#Jamb  2020 Is Out: Click To Check Result https://t.co/5OyOfuBQOh
#Jamb2020 #CoronaVirusSA #COVID19 #MondayMotivaton #NanaAkuaAddo"
81,1.23955E+18,"We will not get bored.
#IStayAtHome 
#confinement 
#COVID19 https://t.co/JURWVcCWYr"
82,1.23955E+18,"#China after the storm.

#economy #collapse #covid19 #CoronavirusOutbreak 

https://t.co/KHMHq9iRMV"
83,1.23955E+18,@nautymatox True it was clearly seen in #RY presidency #LockDownMaldives #COVID19
84,1.23955E+18,"Well done @Scribd. 👏🏽👏🏽👏🏽

#CoronaVirusSverige #COVID19 #Scribd #MentalHealth https://t.co/Y7I4yB33ZP"
85,1.23955E+18,"Helpful, useful information from a real &amp; qualified health professional 💁⤵

#Health #COVID19 #healthandwellness #traveltips https://t.co/3HaNoHeKjU"
86,1.23955E+18,That's a great gesture. Well done guys. #Pizzabaker #PizzaForTheLourdes #Covid19 #LouthChat @PizzabakerIrl https://t.co/gO1VS7lK30
87,1.23955E+18,Well that didn't take long. TSX plunges right from the start today. #coronavirus #stockmarketcrash #stockmarket #financialcrisis #COVIDCanada #COVID19 #business #businessnews https://t.co/QEXbQViZ25
88,1.23955E+18,"#MustWatch #Covid19 quick video. Use Kleenex on door handles. The virus stays on surfaces for days. #calgary 

https://t.co/lOPl8Oi00t"
89,1.23955E+18,Gun sales are surging in many American states amid coronavirus scare #UnitedStates #California #NewYork #Coronavirus #COVID2019 #COVID19 #CoronaVirusFrance #CoronavirusOutbreak #COVID  #CoronaVirusUpdates #Corona #COVIDー19  https://t.co/Ni70cLvl0A
90,1.23955E+18,"The #AzureMaps team has #opensource code available for #healthcare agencies &amp; others that would like to quickly build their own #COVID19  analysis reports 

https://t.co/LbMERp8TH3 

#coronavirus 
#dataviz 
#geospatial 
#github https://t.co/E0AhhNRGkl"
91,1.23955E+18,"#CoVID19 entered the USA. It was brought here. 
#HaltImmigration for a minimum of 12 mos. 
#TestAllWhoEnter

@POTUS 
@tedcruz 
@JohnCornyn"
92,1.23955E+18,Monday morning update! #lucanbiddulph #COVID19 #beingmayor https://t.co/bd37w5qwk6
93,1.23955E+18,Always Lift THA Seat So Ya Don’t Piss On It #원호야사랑해 #coronapocolypse #QuarantineLife #SocialDistancingNow #COVID19
